export_timestamp,export_timestamp_readable,experiment_name,gen_model,embed_model,num_docs,chunk_size,chunk_overlap,num_questions_per_doc,total_questions,concurrency,total_input_tokens,total_output_tokens,total_tokens,total_runtime_seconds,tokens_per_second,cost_api_total,cost_api_per_1k_tokens,cost_api_per_document,cost_api_per_question,cost_api_input,cost_api_output,cost_local_total,cost_local_per_1k_tokens,cost_local_per_document,cost_local_per_question,cost_local_runtime_hours,cost_difference,cost_ratio,total_cost,cost_per_1k_tokens,cost_per_document,cost_per_question,pricing_mode,nolh_sample_idx,nolh_num_docs,nolh_chunk_size,nolh_num_questions
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,nolh_docs7_chunk3466_q3_gengemma3_27b_embqwen3_embedding_8b_fp16,gemma3:27b,qwen3-embedding:8b-fp16,7,3466,50,3,21,3,14487,285,14772,112.94666318895179,130.78739630658666,0.0390675,0.0026446994313566205,0.005581071428571428,0.0018603571428571428,0.0362175,0.0028499999999999997,0.04706110966206324,0.00318583195654368,0.006723015666009034,0.0022410052220030114,0.03137407310804216,-0.007993609662063243,0.8301440463375426,0.0390675,0.0026446994313566205,0.005581071428571428,0.0018603571428571428,both,0,7,3466,3
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,nolh_docs5_chunk3622_q3_genqwen3_latest_embqwen3_embedding_8b_fp16,qwen3:latest,qwen3-embedding:8b-fp16,5,3622,50,3,15,3,10424,288,10712,170.5640619820042,62.80338235102654,0.02894,0.0027016430171769978,0.005788,0.0019293333333333335,0.02606,0.0028799999999999997,0.07106835915916841,0.0066344622067931675,0.014213671831833682,0.004737890610611227,0.04737890610611228,-0.04212835915916841,0.40721356652099516,0.02894,0.0027016430171769978,0.005788,0.0019293333333333335,both,1,5,3622,3
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,nolh_docs3_chunk2011_q3_gengemma3_27b_embsnowflake_arctic_embed2_568m,gemma3:27b,snowflake-arctic-embed2:568m,3,2011,50,3,9,3,6404,99,6503,35.802566861966625,181.63502145172146,0.017,0.0026141780716592345,0.005666666666666667,0.001888888888888889,0.01601,0.00099,0.014917736192486094,0.002293977578423204,0.004972578730828698,0.001657526243609566,0.009945157461657396,0.0020822638075139073,1.1395830962986677,0.017,0.0026141780716592345,0.005666666666666667,0.001888888888888889,both,2,3,2011,3
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,nolh_docs10_chunk3924_q4_gengpt_oss_20b_embsnowflake_arctic_embed2_568m,gpt-oss:20b,snowflake-arctic-embed2:568m,10,3924,50,4,40,3,25827,756,26583,194.97731803101487,136.33893556670765,0.0721275,0.0027132942105857127,0.0072127499999999995,0.0018031874999999999,0.0645675,0.00756,0.08124054917958953,0.0030561091366508495,0.008124054917958954,0.0020310137294897385,0.054160366119726355,-0.009113049179589536,0.8878263469213592,0.0721275,0.0027132942105857127,0.0072127499999999995,0.0018031874999999999,both,3,10,3924,4
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,nolh_docs6_chunk3446_q1_genqwen3_latest_embqwen3_embedding_8b_fp16,qwen3:latest,qwen3-embedding:8b-fp16,6,3446,50,1,6,3,6131,100,6231,419.4348233970086,14.855704992577971,0.0163275,0.002620365912373616,0.00272125,0.00272125,0.0153275,0.001,0.17476450974875357,0.028047586221915194,0.02912741829145893,0.02912741829145893,0.11650967316583571,-0.15843700974875358,0.09342571912039166,0.0163275,0.002620365912373616,0.00272125,0.00272125,both,4,6,3446,1
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,nolh_docs6_chunk3735_q2_gengemma3_12b_embqwen3_embedding_8b_fp16,gemma3:12b,qwen3-embedding:8b-fp16,6,3735,50,2,12,3,9293,156,9449,54.867626755993115,172.2144834516266,0.0247925,0.0026238226267329876,0.004132083333333333,0.0020660416666666665,0.0232325,0.00156,0.022861511148330464,0.0024194635568134688,0.0038102518580550773,0.0019051259290275386,0.015241007432220309,0.001930988851669535,1.0844646199956276,0.0247925,0.0026238226267329876,0.004132083333333333,0.0020660416666666665,both,5,6,3735,2
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,nolh_docs3_chunk3530_q3_genqwen3_latest_embqwen3_embedding_8b_fp16,qwen3:latest,qwen3-embedding:8b-fp16,3,3530,50,3,9,3,6404,162,6566,110.0199916200072,59.68006271694688,0.01763,0.0026850441669204997,0.005876666666666666,0.001958888888888889,0.01601,0.0016200000000000001,0.045841663175003,0.006981672734542035,0.015280554391667667,0.005093518130555889,0.030561108783335334,-0.028211663175003003,0.3845846502710107,0.01763,0.0026850441669204997,0.005876666666666666,0.001958888888888889,both,6,3,3530,3
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,nolh_docs8_chunk2989_q3_gengemma3_12b_embsnowflake_arctic_embed2_568m,gemma3:12b,snowflake-arctic-embed2:568m,8,2989,50,3,24,3,16583,336,16919,50.666945128992666,333.9257963338035,0.044817499999999996,0.0026489449731071577,0.0056021874999999995,0.001867395833333333,0.041457499999999994,0.00336,0.021111227137080277,0.0012477822056315548,0.0026389033921350347,0.0008796344640450115,0.014074151424720184,0.02370627286291972,2.1229225430141594,0.044817499999999996,0.0026489449731071577,0.0056021874999999995,0.001867395833333333,both,7,8,2989,3
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,nolh_docs6_chunk2172_q1_genqwen3_latest_embembeddinggemma,qwen3:latest,embeddinggemma,6,2172,50,1,6,3,6131,106,6237,327.290213092012,19.056481833285297,0.0163875,0.0026274651274651273,0.0027312499999999997,0.0027312499999999997,0.0153275,0.00106,0.13637092212167168,0.021864826378334402,0.022728487020278614,0.022728487020278614,0.09091394808111444,-0.11998342212167168,0.12016857952591159,0.0163875,0.0026274651274651273,0.0027312499999999997,0.0027312499999999997,both,8,6,2172,1
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,nolh_docs8_chunk3806_q3_gengemma3_12b_embembeddinggemma,gemma3:12b,embeddinggemma,8,3806,50,3,24,3,16583,309,16892,49.94706312401104,338.1980629783919,0.0445475,0.0026371951219512193,0.0055684375,0.0018561458333333331,0.041457499999999994,0.00309,0.020811276301671264,0.0012320196721330372,0.002601409537708908,0.0008671365125696361,0.013874184201114177,0.023736223698328732,2.1405462766559196,0.0445475,0.0026371951219512193,0.0055684375,0.0018561458333333331,both,9,8,3806,3
