export_timestamp,export_timestamp_readable,chunk_size_range,cost_api_total_mean,cost_api_total_sum,cost_api_total_count,cost_local_total_mean,cost_local_total_sum,cost_difference_mean,cost_ratio_mean
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,0-500,,0.0,0,,0.0,,
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,501-1000,,0.0,0,,0.0,,
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,1001-2000,,0.0,0,,0.0,,
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,2001-3000,0.0276,2.7579,100,0.0393,3.9304,-0.0117,1.4493
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,3001-4000,0.0261,2.6116,100,0.0363,3.6346,-0.0102,1.426
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,4000+,,0.0,0,,0.0,,
