export_timestamp,export_timestamp_readable,embed_model,total_tokens_count,total_tokens_mean,total_tokens_sum,total_runtime_seconds_mean,total_runtime_seconds_sum,tokens_per_second_mean,cost_api_total_mean,cost_api_total_sum,cost_api_total_min,cost_api_total_max,cost_local_total_mean,cost_local_total_sum,cost_local_total_min,cost_local_total_max,cost_difference_mean,cost_ratio_mean
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,embeddinggemma,33,9746.8182,321645,86.2458,2846.1126,242.9414,0.0258,0.8505,0.0085,0.0559,0.0359,1.1859,0.0033,0.1893,-0.0102,1.5368
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,nomic-embed-text:137m-v1.5-fp16,33,10475.7273,345699,87.5786,2890.0928,284.5534,0.0278,0.9179,0.0028,0.0569,0.0365,1.2042,0.0019,0.1582,-0.0087,1.7967
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,qwen3-embedding:8b-fp16,67,9598.3284,643088,107.8216,7224.05,162.541,0.0255,1.7062,0.0028,0.0633,0.0449,3.01,0.002,0.1748,-0.0195,1.0291
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,snowflake-arctic-embed2:568m,67,10650.3134,713571,77.5479,5195.7073,256.4821,0.0283,1.8948,0.0056,0.0721,0.0323,2.1649,0.0022,0.14,-0.004,1.6205
