export_timestamp,export_timestamp_readable,parameter,correlation_with_cost_api,correlation_with_cost_local,correlation_with_total_tokens,correlation_with_runtime,parameter_min,parameter_max,parameter_mean
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,num_docs,0.8374,0.5104,0.8394,0.5104,1,10,5.51
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,chunk_size,-0.0275,-0.0139,-0.0282,-0.0139,2010,3992,2999.71
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,num_questions_per_doc,0.4304,-0.1058,0.4288,-0.1058,1,4,2.5
