export_timestamp,export_timestamp_readable,gen_model,embed_model,total_tokens_count,total_tokens_mean,total_tokens_sum,total_runtime_seconds_mean,total_runtime_seconds_sum,tokens_per_second_mean,cost_api_total_mean,cost_api_total_sum,cost_api_total_min,cost_api_total_max,cost_local_total_mean,cost_local_total_sum,cost_local_total_min,cost_local_total_max,cost_difference_mean,cost_ratio_mean
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,gemma3:12b,embeddinggemma,3,10181.6667,30545,30.7066,92.1197,328.5353,0.0267,0.0802,0.0168,0.0445,0.0128,0.0384,0.0083,0.0208,0.014,2.068
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,gemma3:12b,nomic-embed-text:137m-v1.5-fp16,4,6047.5,24190,15.5129,62.0515,414.1568,0.0158,0.0632,0.0113,0.0227,0.0065,0.0259,0.0031,0.0088,0.0093,2.5935
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,gemma3:12b,qwen3-embedding:8b-fp16,13,10322.0769,134187,48.687,632.9315,216.6402,0.0271,0.3527,0.0028,0.0561,0.0203,0.2637,0.002,0.0349,0.0068,1.3633
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,gemma3:12b,snowflake-arctic-embed2:568m,13,9344.3077,121476,29.3076,380.9989,339.4658,0.0246,0.3198,0.0072,0.0555,0.0122,0.1587,0.0034,0.0319,0.0124,2.1358
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,gemma3:1b,embeddinggemma,3,10965.3333,32896,15.7692,47.3077,616.9328,0.029,0.0871,0.0085,0.0557,0.0066,0.0197,0.0033,0.0097,0.0225,3.9143
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,gemma3:1b,nomic-embed-text:137m-v1.5-fp16,2,3797.5,7595,5.1527,10.3053,733.7962,0.0099,0.0199,0.0084,0.0115,0.0021,0.0043,0.0021,0.0022,0.0078,4.6124
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,gemma3:1b,qwen3-embedding:8b-fp16,7,9027.0,63189,24.3285,170.2994,360.8526,0.0239,0.1671,0.0057,0.0633,0.0101,0.071,0.0022,0.0205,0.0137,2.2826
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,gemma3:1b,snowflake-arctic-embed2:568m,5,9428.6,47143,16.0373,80.1867,583.3989,0.0249,0.1245,0.0071,0.0353,0.0067,0.0334,0.0022,0.0087,0.0182,3.6926
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,gemma3:27b,embeddinggemma,5,10394.8,51974,74.3546,371.7729,142.3763,0.0274,0.1372,0.0085,0.0447,0.031,0.1549,0.0085,0.0502,-0.0035,0.9013
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,gemma3:27b,nomic-embed-text:137m-v1.5-fp16,4,12677.25,50709,76.4394,305.7577,168.8048,0.0334,0.1337,0.0216,0.0556,0.0318,0.1274,0.0211,0.0538,0.0016,1.0662
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,gemma3:27b,qwen3-embedding:8b-fp16,10,11252.6,112526,95.2273,952.2731,120.8426,0.0297,0.2974,0.0056,0.0557,0.0397,0.3968,0.0055,0.0729,-0.0099,0.7649
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,gemma3:27b,snowflake-arctic-embed2:568m,15,11552.2667,173284,75.7419,1136.1281,165.7864,0.0305,0.4573,0.0056,0.0633,0.0316,0.4734,0.0037,0.0652,-0.0011,1.0444
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,gemma3:4b,embeddinggemma,7,11341.8571,79393,23.6811,165.768,454.1104,0.0298,0.2086,0.0086,0.0559,0.0099,0.0691,0.0039,0.0145,0.0199,2.8622
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,gemma3:4b,nomic-embed-text:137m-v1.5-fp16,6,12618.8333,75713,20.4132,122.4793,608.1715,0.0332,0.1993,0.0113,0.0488,0.0085,0.051,0.0032,0.0116,0.0247,3.837
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,gemma3:4b,qwen3-embedding:8b-fp16,8,7373.875,58991,30.4196,243.3564,258.2118,0.0194,0.1556,0.0071,0.0492,0.0127,0.1014,0.0031,0.022,0.0068,1.6278
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,gemma3:4b,snowflake-arctic-embed2:568m,12,8399.0,100788,17.8459,214.1513,458.2501,0.0221,0.2652,0.0083,0.0562,0.0074,0.0892,0.0025,0.0144,0.0147,2.8866
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,gpt-oss:120b,embeddinggemma,2,5850.5,11701,92.783,185.5661,71.0863,0.0154,0.0308,0.0143,0.0165,0.0387,0.0773,0.0245,0.0529,-0.0233,0.4482
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,gpt-oss:120b,nomic-embed-text:137m-v1.5-fp16,1,17006.0,17006,209.8652,209.8652,81.033,0.0457,0.0457,0.0457,0.0457,0.0874,0.0874,0.0874,0.0874,-0.0418,0.5225
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,gpt-oss:120b,qwen3-embedding:8b-fp16,7,10740.5714,75184,169.961,1189.7267,60.0612,0.029,0.2027,0.0111,0.0526,0.0708,0.4957,0.028,0.1015,-0.0419,0.3867
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,gpt-oss:120b,snowflake-arctic-embed2:568m,7,11583.8571,81087,155.6021,1089.2144,70.2915,0.0311,0.2178,0.0116,0.052,0.0648,0.4538,0.0294,0.0902,-0.0337,0.4518
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,gpt-oss:20b,embeddinggemma,8,8826.0,70608,86.6751,693.4006,117.9824,0.0235,0.188,0.0137,0.0299,0.0361,0.2889,0.0099,0.0491,-0.0126,0.753
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,gpt-oss:20b,nomic-embed-text:137m-v1.5-fp16,9,10250.2222,92252,87.6376,788.7386,139.8949,0.0274,0.2469,0.0028,0.046,0.0365,0.3286,0.0019,0.0644,-0.0091,0.8932
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,gpt-oss:20b,qwen3-embedding:8b-fp16,9,6296.5556,56669,62.0106,558.0955,142.3562,0.0167,0.1505,0.0059,0.0428,0.0258,0.2325,0.003,0.0534,-0.0091,0.9103
2025-11-24T04:13:24.925505,2025-11-24 04:13:24,gpt-oss:20b,snowflake-arctic-embed2:568m,7,15867.8571,111075,119.4962,836.4732,132.364,0.0428,0.2998,0.0256,0.0721,0.0498,0.3485,0.0321,0.0812,-0.007,0.8571
