export_timestamp,export_timestamp_readable,gen_model,embed_model,model_combination,api_price_at_$0.5_per_hour,api_price_at_$1.0_per_hour,api_price_at_$1.5_per_hour,api_price_at_$2.0_per_hour,api_price_at_$3.0_per_hour,api_price_at_$4.0_per_hour,api_price_at_$5.0_per_hour
2025-11-23T17:09:42.542291,2025-11-23 17:09:42,gemma3:12b,embeddinggemma,gemma3:12b + embeddinggemma,0.0007492798735991269,0.0014985597471982538,0.002247839620797381,0.0029971194943965076,0.004495679241594762,0.005994238988793015,0.007492798735991269
2025-11-23T17:09:42.542291,2025-11-23 17:09:42,gemma3:12b,qwen3-embedding:8b-fp16,gemma3:12b + qwen3-embedding:8b-fp16,0.0015613411069050028,0.0031226822138100056,0.004684023320715008,0.006245364427620011,0.009368046641430016,,
2025-11-23T17:09:42.542291,2025-11-23 17:09:42,gemma3:1b,nomic-embed-text:137m-v1.5-fp16,gemma3:1b + nomic-embed-text:137m-v1.5-fp16,0.0001560244869425942,0.0003120489738851884,0.0004680734608277826,0.0006240979477703768,0.0009361469216555652,0.0012481958955407537,0.0015602448694259417
2025-11-23T17:09:42.542291,2025-11-23 17:09:42,gemma3:1b,snowflake-arctic-embed2:568m,gemma3:1b + snowflake-arctic-embed2:568m,0.00020031904189724847,0.00040063808379449693,0.0006009571256917454,0.0008012761675889939,0.0012019142513834907,0.0016025523351779877,0.0020031904189724845
2025-11-23T17:09:42.542291,2025-11-23 17:09:42,gemma3:27b,embeddinggemma,gemma3:27b + embeddinggemma,0.0030887733627581538,0.0061775467255163075,0.009266320088274462,,,,
2025-11-23T17:09:42.542291,2025-11-23 17:09:42,gemma3:27b,nomic-embed-text:137m-v1.5-fp16,gemma3:27b + nomic-embed-text:137m-v1.5-fp16,0.0013095484745473433,0.002619096949094686,0.003928645423642029,0.005238193898189372,0.007857290847284058,,
2025-11-23T17:09:42.542291,2025-11-23 17:09:42,gemma3:27b,qwen3-embedding:8b-fp16,gemma3:27b + qwen3-embedding:8b-fp16,0.0035099891956112622,0.007019978391222524,0.009968369315535986,,,,
2025-11-23T17:09:42.542291,2025-11-23 17:09:42,gemma3:27b,snowflake-arctic-embed2:568m,gemma3:27b + snowflake-arctic-embed2:568m,0.002252076661508302,0.004504153323016604,0.006756229984524906,0.009008306646033208,,,
2025-11-23T17:09:42.542291,2025-11-23 17:09:42,gemma3:4b,nomic-embed-text:137m-v1.5-fp16,gemma3:4b + nomic-embed-text:137m-v1.5-fp16,0.000582308784450982,0.001164617568901964,0.0017469263533529456,0.002329235137803928,0.0034938527067058913,0.004658470275607856,0.005823087844509818
2025-11-23T17:09:42.542291,2025-11-23 17:09:42,gemma3:4b,qwen3-embedding:8b-fp16,gemma3:4b + qwen3-embedding:8b-fp16,0.0006490790209107561,0.0012981580418215124,0.0019472370627322683,0.002596316083643025,0.003894474125464537,0.00519263216728605,0.006490790209107561
2025-11-23T17:09:42.542291,2025-11-23 17:09:42,gemma3:4b,snowflake-arctic-embed2:568m,gemma3:4b + snowflake-arctic-embed2:568m,0.0006247689731205939,0.0012495379462411878,0.001874306919361782,0.0024990758924823757,0.0037486138387235637,0.004998151784964751,0.006247689731205939
2025-11-23T17:09:42.542291,2025-11-23 17:09:42,gpt-oss:120b,qwen3-embedding:8b-fp16,gpt-oss:120b + qwen3-embedding:8b-fp16,0.0024432934289727857,0.004886586857945571,0.007329880286918356,0.009773173715891141,,,
2025-11-23T17:09:42.542291,2025-11-23 17:09:42,gpt-oss:120b,snowflake-arctic-embed2:568m,gpt-oss:120b + snowflake-arctic-embed2:568m,0.0021708453495534446,0.004341690699106889,0.006512536048660335,0.008683381398213777,,,
2025-11-23T17:09:42.542291,2025-11-23 17:09:42,gpt-oss:20b,qwen3-embedding:8b-fp16,gpt-oss:20b + qwen3-embedding:8b-fp16,0.002439318857855485,0.00487863771571097,0.007317956573566456,0.00975727543142194,,,
2025-11-23T17:09:42.542291,2025-11-23 17:09:42,gpt-oss:20b,snowflake-arctic-embed2:568m,gpt-oss:20b + snowflake-arctic-embed2:568m,0.0018942683035908171,0.003788536607181634,0.005682804910772451,0.007577073214363269,,,
2025-11-23T17:09:42.542291,2025-11-23 17:09:42,qwen3:latest,embeddinggemma,qwen3:latest + embeddinggemma,0.003539900715177558,0.007079801430355116,0.009982520016800714,,,,
2025-11-23T17:09:42.542291,2025-11-23 17:09:42,qwen3:latest,qwen3-embedding:8b-fp16,qwen3:latest + qwen3-embedding:8b-fp16,0.004395663401700481,0.008791326803400962,,,,,
2025-11-23T17:09:42.542291,2025-11-23 17:09:42,qwen3:latest,snowflake-arctic-embed2:568m,qwen3:latest + snowflake-arctic-embed2:568m,0.0038147439475537835,0.007629487895107566,,,,,
