gen_model,embed_model,api_price_per_1k,hourly_price,cost_difference,api_cost,local_cost,export_timestamp,export_timestamp_readable
gemma3:12b,embeddinggemma,0.0002,0.13,4.819976777439654e-05,0.0018584,0.0018102002322256039,2025-11-23T17:09:42.542291,2025-11-23 17:09:42
gemma3:12b,embeddinggemma,0.0002,0.13999999999999999,-9.104640393526502e-05,0.0018584,0.0019494464039352653,2025-11-23T17:09:42.542291,2025-11-23 17:09:42
gemma3:12b,embeddinggemma,0.00030000000000000003,0.19999999999999996,2.6765658067646808e-06,0.0027876000000000003,0.002784923434193236,2025-11-23T17:09:42.542291,2025-11-23 17:09:42
gemma3:12b,embeddinggemma,0.0004,0.2599999999999999,9.63995355487946e-05,0.0037168,0.003620400464451206,2025-11-23T17:09:42.542291,2025-11-23 17:09:42
gemma3:12b,embeddinggemma,0.0004,0.2699999999999999,-4.2846636160867504e-05,0.0037168,0.003759646636160868,2025-11-23T17:09:42.542291,2025-11-23 17:09:42
gemma3:12b,embeddinggemma,0.0005,0.32999999999999985,5.0876333581162305e-05,0.004646,0.004595123666418838,2025-11-23T17:09:42.542291,2025-11-23 17:09:42
gemma3:12b,embeddinggemma,0.0005,0.33999999999999986,-8.836983812849958e-05,0.004646,0.0047343698381285,2025-11-23T17:09:42.542291,2025-11-23 17:09:42
gemma3:12b,embeddinggemma,0.0006000000000000001,0.3999999999999998,5.353131613530663e-06,0.005575200000000001,0.00556984686838647,2025-11-23T17:09:42.542291,2025-11-23 17:09:42
gemma3:12b,embeddinggemma,0.0007000000000000001,0.45999999999999985,9.907610135556047e-05,0.0065044000000000005,0.006405323898644442,2025-11-23T17:09:42.542291,2025-11-23 17:09:42
gemma3:12b,embeddinggemma,0.0007000000000000001,0.46999999999999986,-4.0170070354102064e-05,0.0065044000000000005,0.006544570070354104,2025-11-23T17:09:42.542291,2025-11-23 17:09:42
gemma3:12b,embeddinggemma,0.0008,0.5299999999999998,5.355289938792753e-05,0.0074336,0.007380047100612074,2025-11-23T17:09:42.542291,2025-11-23 17:09:42
gemma3:12b,embeddinggemma,0.0008,0.5399999999999998,-8.569327232173501e-05,0.0074336,0.007519293272321736,2025-11-23T17:09:42.542291,2025-11-23 17:09:42
gemma3:12b,embeddinggemma,0.0009000000000000001,0.5999999999999998,8.029697420295235e-06,0.0083628,0.008354770302579705,2025-11-23T17:09:42.542291,2025-11-23 17:09:42
gemma3:12b,embeddinggemma,0.001,0.6699999999999997,-3.749350454733706e-05,0.009292,0.009329493504547337,2025-11-23T17:09:42.542291,2025-11-23 17:09:42
gemma3:12b,embeddinggemma,0.0011,0.7299999999999996,5.6229465194693184e-05,0.0102212,0.010164970534805308,2025-11-23T17:09:42.542291,2025-11-23 17:09:42
gemma3:12b,embeddinggemma,0.0011,0.7399999999999997,-8.301670651496892e-05,0.0102212,0.01030421670651497,2025-11-23T17:09:42.542291,2025-11-23 17:09:42
gemma3:12b,embeddinggemma,0.0012000000000000001,0.7999999999999996,1.0706263227061325e-05,0.011150400000000001,0.01113969373677294,2025-11-23T17:09:42.542291,2025-11-23 17:09:42
gemma3:12b,embeddinggemma,0.0013000000000000002,0.8699999999999996,-3.4816938740570534e-05,0.012079600000000001,0.012114416938740573,2025-11-23T17:09:42.542291,2025-11-23 17:09:42
gemma3:12b,embeddinggemma,0.0014000000000000002,0.9299999999999996,5.890603100145971e-05,0.013008800000000001,0.012949893968998543,2025-11-23T17:09:42.542291,2025-11-23 17:09:42
gemma3:12b,embeddinggemma,0.0014000000000000002,0.9399999999999996,-8.03401407082024e-05,0.013008800000000001,0.013089140140708206,2025-11-23T17:09:42.542291,2025-11-23 17:09:42
gemma3:12b,embeddinggemma,0.0015,0.9999999999999996,1.338282903382568e-05,0.013938,0.013924617170966175,2025-11-23T17:09:42.542291,2025-11-23 17:09:42
gemma3:12b,embeddinggemma,0.0016,1.0699999999999996,-3.2140372933807046e-05,0.0148672,0.01489934037293381,2025-11-23T17:09:42.542291,2025-11-23 17:09:42
gemma3:12b,embeddinggemma,0.0017000000000000001,1.1299999999999997,6.15825968082206e-05,0.015796400000000002,0.01573481740319178,2025-11-23T17:09:42.542291,2025-11-23 17:09:42
gemma3:12b,embeddinggemma,0.0017000000000000001,1.1399999999999997,-7.766357490144064e-05,0.015796400000000002,0.015874063574901443,2025-11-23T17:09:42.542291,2025-11-23 17:09:42
