export_timestamp,export_timestamp_readable,parameter,correlation_with_cost_api,correlation_with_cost_local,correlation_with_total_tokens,correlation_with_runtime,parameter_min,parameter_max,parameter_mean
2025-11-23T22:25:28.178739,2025-11-23 22:25:28,num_docs,1.0,0.4516,1.0,0.4516,5,50,27.48
2025-11-23T22:25:28.178739,2025-11-23 22:25:28,chunk_size,-0.0763,-0.1004,-0.0763,-0.1004,275,3964,2114.76
2025-11-23T22:25:28.178739,2025-11-23 22:25:28,num_questions_per_doc,0.0499,0.1733,0.0499,0.1733,1,10,5.53
