export_timestamp,export_timestamp_readable,num_docs_range,cost_api_total_mean,cost_api_total_sum,cost_api_total_count,cost_local_total_mean,cost_local_total_sum,cost_difference_mean,cost_ratio_mean
2025-11-23T22:25:28.178739,2025-11-23 22:25:28,1-10,0.0094,0.1123,12,0.0181,0.2178,-0.0088,0.9746
2025-11-23T22:25:28.178739,2025-11-23 22:25:28,11-20,0.0189,0.4355,23,0.0582,1.3385,-0.0393,0.7304
2025-11-23T22:25:28.178739,2025-11-23 22:25:28,21-30,0.0312,0.655,21,0.0784,1.6465,-0.0472,0.6928
2025-11-23T22:25:28.178739,2025-11-23 22:25:28,31-40,0.0435,0.957,22,0.1035,2.2779,-0.06,0.7397
2025-11-23T22:25:28.178739,2025-11-23 22:25:28,41-50,0.0549,1.153,21,0.1077,2.2626,-0.0528,1.0813
2025-11-23T22:25:28.178739,2025-11-23 22:25:28,50+,,0.0,0,,0.0,,
