export_timestamp,export_timestamp_readable,chunk_size_range,cost_api_total_mean,cost_api_total_sum,cost_api_total_count,cost_local_total_mean,cost_local_total_sum,cost_difference_mean,cost_ratio_mean
2025-11-23T22:25:28.178739,2025-11-23 22:25:28,0-500,0.0407,0.2846,7,0.0913,0.6393,-0.0507,0.7035
2025-11-23T22:25:28.178739,2025-11-23 22:25:28,501-1000,0.0358,0.4658,13,0.093,1.2085,-0.0571,0.6944
2025-11-23T22:25:28.178739,2025-11-23 22:25:28,1001-2000,0.031,0.8372,27,0.0732,1.9775,-0.0422,0.7787
2025-11-23T22:25:28.178739,2025-11-23 22:25:28,2001-3000,0.033,0.8908,27,0.0706,1.9052,-0.0376,0.9575
2025-11-23T22:25:28.178739,2025-11-23 22:25:28,3001-4000,0.0334,0.8343,25,0.0805,2.0129,-0.0471,0.8478
2025-11-23T22:25:28.178739,2025-11-23 22:25:28,4000+,,0.0,0,,0.0,,
