export_timestamp,export_timestamp_readable,gen_model,total_tokens_count,total_tokens_mean,total_tokens_sum,total_runtime_seconds_mean,total_runtime_seconds_sum,tokens_per_second_mean,cost_api_total_mean,cost_api_total_sum,cost_api_total_min,cost_api_total_max,cost_local_total_mean,cost_local_total_sum,cost_local_total_min,cost_local_total_max,cost_difference_mean,cost_ratio_mean
2025-11-23T22:25:28.178739,2025-11-23 22:25:28,gemma3:12b,16,12038.4375,192615,110.7752,1772.404,130.6078,0.0301,0.4815,0.0074,0.0571,0.0462,0.7385,0.0064,0.1189,-0.0161,0.7836
2025-11-23T22:25:28.178739,2025-11-23 22:25:28,gemma3:1b,9,14019.8889,126179,33.3978,300.5802,435.6445,0.035,0.3154,0.0086,0.0571,0.0139,0.1252,0.005,0.0281,0.0211,2.6139
2025-11-23T22:25:28.178739,2025-11-23 22:25:28,gemma3:27b,16,13699.0,219184,260.5801,4169.2817,59.0587,0.0342,0.548,0.0086,0.0595,0.1086,1.7372,0.0157,0.25,-0.0743,0.3544
2025-11-23T22:25:28.178739,2025-11-23 22:25:28,gemma3:4b,16,14329.4375,229271,56.4015,902.4236,280.7214,0.0358,0.5732,0.0123,0.0558,0.0235,0.376,0.0042,0.0452,0.0123,1.6843
2025-11-23T22:25:28.178739,2025-11-23 22:25:28,gpt-oss:120b,8,14981.875,119855,236.5153,1892.1226,65.8105,0.0375,0.2996,0.0134,0.0571,0.0985,0.7884,0.027,0.151,-0.0611,0.3949
2025-11-23T22:25:28.178739,2025-11-23 22:25:28,gpt-oss:20b,17,15636.1765,265815,243.1429,4133.4287,66.6789,0.0391,0.6645,0.0099,0.0608,0.1013,1.7223,0.0291,0.1723,-0.0622,0.4001
2025-11-23T22:25:28.178739,2025-11-23 22:25:28,qwen3:latest,17,10126.8235,172156,318.4559,5413.7497,33.134,0.0253,0.4304,0.0062,0.0451,0.1327,2.2557,0.0246,0.2873,-0.1074,0.1988
