export_timestamp,export_timestamp_readable,embed_model,total_tokens_count,total_tokens_mean,total_tokens_sum,total_runtime_seconds_mean,total_runtime_seconds_sum,tokens_per_second_mean,cost_api_total_mean,cost_api_total_sum,cost_api_total_min,cost_api_total_max,cost_local_total_mean,cost_local_total_sum,cost_local_total_min,cost_local_total_max,cost_difference_mean,cost_ratio_mean
2025-11-23T22:25:28.178739,2025-11-23 22:25:28,embeddinggemma,17,13951.8824,237182,166.4783,2830.1308,171.8797,0.0349,0.593,0.0062,0.0571,0.0694,1.1792,0.0064,0.2175,-0.0345,1.0313
2025-11-23T22:25:28.178739,2025-11-23 22:25:28,nomic-embed-text:137m-v1.5-fp16,17,13132.2941,223249,203.4925,3459.3727,171.933,0.0328,0.5581,0.0074,0.0595,0.0848,1.4414,0.0042,0.2125,-0.052,1.0316
2025-11-23T22:25:28.178739,2025-11-23 22:25:28,qwen3-embedding:8b-fp16,32,14188.3438,454027,208.2162,6662.9194,103.2483,0.0355,1.1351,0.0086,0.0608,0.0868,2.7762,0.0062,0.2873,-0.0513,0.6195
2025-11-23T22:25:28.178739,2025-11-23 22:25:28,snowflake-arctic-embed2:568m,33,12442.9394,410617,170.6536,5631.5674,137.0167,0.0311,1.0265,0.0062,0.0571,0.0711,2.3465,0.005,0.1759,-0.04,0.8221
