gen_model,embed_model,api_price_per_1k,hourly_price,cost_difference,export_timestamp,export_timestamp_readable
gemma3:12b,embeddinggemma,0.00010052891511975784,0.12,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.000108906324713071,0.13,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00011728373430638414,0.13999999999999999,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00012566114389969728,0.14999999999999997,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00013403855349301044,0.15999999999999998,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0001424159630863236,0.16999999999999998,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00015079337267963675,0.17999999999999997,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00015917078227294988,0.18999999999999995,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00016754819186626303,0.19999999999999996,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00017592560145957622,0.20999999999999996,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00018430301105288934,0.21999999999999995,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00019268042064620247,0.22999999999999995,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00020105783023951563,0.23999999999999994,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00020943523983282878,0.24999999999999992,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0002178126494261419,0.2599999999999999,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00022619005901945507,0.2699999999999999,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00023456746861276825,0.2799999999999999,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00024294487820608138,0.2899999999999999,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00025132228779939456,0.29999999999999993,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0002596996973927077,0.30999999999999994,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0002680771069860209,0.3199999999999999,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.000276454516579334,0.32999999999999985,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0002848319261726471,0.33999999999999986,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0002932093357659603,0.34999999999999987,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00030158674535927344,0.3599999999999999,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0003099641549525866,0.3699999999999999,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00031834156454589975,0.3799999999999999,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0003267189741392129,0.3899999999999999,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.000335096383732526,0.3999999999999998,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00034347379332583917,0.4099999999999998,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0003518512029191523,0.4199999999999998,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0003602286125124655,0.4299999999999998,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00036860602210577863,0.43999999999999984,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0003769834316990918,0.44999999999999984,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00038536084129240495,0.45999999999999985,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00039373825088571816,0.46999999999999986,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0004021156604790312,0.47999999999999976,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00041049307007234436,0.48999999999999977,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0004188704796656575,0.4999999999999998,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00042724788925897067,0.5099999999999998,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0004356252988522838,0.5199999999999998,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.000444002708445597,0.5299999999999998,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00045238011803891014,0.5399999999999998,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0004607575276322233,0.5499999999999998,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0004691349372255364,0.5599999999999997,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00047751234681884955,0.5699999999999997,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0004858897564121627,0.5799999999999997,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0004942671660054759,0.5899999999999997,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.000502644575598789,0.5999999999999998,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0005110219851921022,0.6099999999999998,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0005193993947854153,0.6199999999999998,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0005277768043787284,0.6299999999999997,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0005361542139720415,0.6399999999999997,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0005445316235653547,0.6499999999999997,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.000552909033158668,0.6599999999999997,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.000561286442751981,0.6699999999999997,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0005696638523452943,0.6799999999999997,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0005780412619386074,0.6899999999999997,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0005864186715319205,0.6999999999999996,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0005947960811252337,0.7099999999999996,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0006031734907185468,0.7199999999999996,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00061155090031186,0.7299999999999996,0.0,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
