gen_model,embed_model,api_price_per_1k,hourly_price,cost_difference,api_cost,local_cost,export_timestamp,export_timestamp_readable
gemma3:12b,embeddinggemma,0.0001,0.11,7.991075456491564e-05,0.0010181666666666668,0.000938255912101751,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0001,0.12,-5.385237444334417e-06,0.0010181666666666668,0.001023551904111001,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0001,0.13,-9.068122945358455e-05,0.0010181666666666668,0.0011088478961202514,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0002,0.22999999999999995,7.452551712058173e-05,0.0020363333333333336,0.0019618078162127518,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0002,0.23999999999999994,-1.0770474888668327e-05,0.0020363333333333336,0.0020471038082220017,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0002,0.24999999999999992,-9.606646689791823e-05,0.0020363333333333336,0.0021323998002312516,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00030000000000000003,0.34999999999999987,6.914027967624774e-05,0.0030545000000000004,0.0029853597203237524,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.00030000000000000003,0.3599999999999999,-1.615571233300231e-05,0.0030545000000000004,0.0030706557123330023,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0004,0.46999999999999986,6.37550422319134e-05,0.004072666666666667,0.0040089116244347535,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0004,0.47999999999999976,-2.154094977733564e-05,0.004072666666666667,0.0040942076164440025,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0005,0.5899999999999997,5.836980478757999e-05,0.0050908333333333335,0.005032463528545753,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0005,0.5999999999999998,-2.6926187221670346e-05,0.0050908333333333335,0.005117759520555004,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0006000000000000001,0.7099999999999996,5.2984567343246736e-05,0.006109000000000001,0.006056015432656754,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0006000000000000001,0.7199999999999996,-3.231142466600346e-05,0.006109000000000001,0.006141311424666004,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0007000000000000001,0.8299999999999996,4.75993298989129e-05,0.007127166666666668,0.007079567336767755,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0007000000000000001,0.8399999999999996,-3.769666211033759e-05,0.007127166666666668,0.007164863328777005,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0008,0.9499999999999995,4.2214092454578335e-05,0.008145333333333334,0.008103119240878755,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gemma3:12b,embeddinggemma,0.0008,0.9599999999999995,-4.308189955467128e-05,0.008145333333333334,0.008188415232888005,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
