export_timestamp,export_timestamp_readable,gen_model,embed_model,model_combination,api_price_at_$0.5_per_hour,api_price_at_$1.0_per_hour,api_price_at_$1.5_per_hour,api_price_at_$2.0_per_hour,api_price_at_$3.0_per_hour,api_price_at_$4.0_per_hour,api_price_at_$5.0_per_hour
2025-11-24T12:54:05.462112,2025-11-24 12:54:05,gemma3:12b,embeddinggemma,gemma3:12b + embeddinggemma,0.0004188704796656575,0.000837740959331315,0.0012566114389969726,0.00167548191866263,0.002513222877993945,0.00335096383732526,0.004188704796656575
2025-11-24T12:54:05.462112,2025-11-24 12:54:05,gemma3:12b,nomic-embed-text:137m-v1.5-fp16,gemma3:12b + nomic-embed-text:137m-v1.5-fp16,0.00035627376445158927,0.0007125475289031785,0.0010688212933547677,0.001425095057806357,0.0021376425867095355,0.0028501901156127137,0.003562737644515892
2025-11-24T12:54:05.462112,2025-11-24 12:54:05,gemma3:12b,qwen3-embedding:8b-fp16,gemma3:12b + qwen3-embedding:8b-fp16,0.0006551092800583367,0.0013102185601166735,0.00196532784017501,0.002620437120233347,0.00393065568035002,0.005240874240466694,0.006551092800583367
2025-11-24T12:54:05.462112,2025-11-24 12:54:05,gemma3:12b,snowflake-arctic-embed2:568m,gemma3:12b + snowflake-arctic-embed2:568m,0.00043561292404468684,0.0008712258480893737,0.0013068387721340605,0.0017424516961787474,0.002613677544268121,0.0034849033923574947,0.004356129240446868
2025-11-24T12:54:05.462112,2025-11-24 12:54:05,gemma3:1b,embeddinggemma,gemma3:1b + embeddinggemma,0.00019973600778449682,0.00039947201556899363,0.0005992080233534904,0.0007989440311379873,0.0011984160467069808,0.0015978880622759745,0.001997360077844968
2025-11-24T12:54:05.462112,2025-11-24 12:54:05,gemma3:1b,nomic-embed-text:137m-v1.5-fp16,gemma3:1b + nomic-embed-text:137m-v1.5-fp16,0.00018845230006880954,0.0003769046001376191,0.0005653569002064286,0.0007538092002752382,0.0011307138004128573,0.0015076184005504763,0.0018845230006880953
2025-11-24T12:54:05.462112,2025-11-24 12:54:05,gemma3:1b,qwen3-embedding:8b-fp16,gemma3:1b + qwen3-embedding:8b-fp16,0.00037431673049853354,0.0007486334609970671,0.0011229501914956006,0.001497266921994134,0.002245900382991201,0.002994533843988268,0.003743167304985335
2025-11-24T12:54:05.462112,2025-11-24 12:54:05,gemma3:1b,snowflake-arctic-embed2:568m,gemma3:1b + snowflake-arctic-embed2:568m,0.0002362395694955227,0.0004724791389910454,0.0007087187084865681,0.0009449582779820908,0.0014174374169731363,0.0018899165559641815,0.002362395694955227
2025-11-24T12:54:05.462112,2025-11-24 12:54:05,gemma3:27b,embeddinggemma,gemma3:27b + embeddinggemma,0.0009934797833451071,0.0019869595666902147,0.0029804393500353216,0.003973919133380429,0.005960878700070643,0.007947838266760857,0.00993479783345107
2025-11-24T12:54:05.462112,2025-11-24 12:54:05,gemma3:27b,nomic-embed-text:137m-v1.5-fp16,gemma3:27b + nomic-embed-text:137m-v1.5-fp16,0.0008374517961062643,0.0016749035922125285,0.0025123553883187925,0.0033498071844250566,0.005024710776637585,0.006699614368850113,0.00837451796106264
