export_timestamp,export_timestamp_readable,experiment_name,gen_model,embed_model,num_docs,chunk_size,chunk_overlap,num_questions_per_doc,total_questions,concurrency,total_input_tokens,total_output_tokens,total_tokens,total_runtime_seconds,tokens_per_second,cost_api_total,cost_api_per_1k_tokens,cost_api_per_document,cost_api_per_question,cost_api_input,cost_api_output,cost_local_total,cost_local_per_1k_tokens,cost_local_per_document,cost_local_per_question,cost_local_runtime_hours,cost_difference,cost_ratio,total_cost,cost_per_1k_tokens,cost_per_document,cost_per_question,pricing_mode,nolh_sample_idx,nolh_num_docs,nolh_chunk_size,nolh_num_questions,num_docs_range,chunk_size_range
2025-11-23T16:40:16.336952,2025-11-23 16:40:16,nolh_docs43_chunk326_q4_gengpt_oss_120b_embsnowflake_arctic_embed2_568m,gpt-oss:120b,snowflake-arctic-embed2:568m,43,326,32,4,172,3,20825,0,20825,325.4965517120436,63.97917240740299,0.0520625,0.0024999999999999996,0.0012107558139534884,0.0003026889534883721,0.0520625,0.0,0.1356235632133515,0.006512536048660336,0.0031540363537988724,0.0007885090884497181,0.090415708808901,-0.08356106321335151,0.3838750344444179,0.0520625,0.0024999999999999996,0.0012107558139534884,0.0003026889534883721,both,0,43,326,4,41-50,0-500
2025-11-23T16:40:16.336952,2025-11-23 16:40:16,nolh_docs17_chunk1783_q7_gengemma3_4b_embnomic_embed_text_137m_v1.5_fp16,gemma3:4b,nomic-embed-text:137m-v1.5-fp16,17,1783,50,7,119,3,8337,0,8337,31.687778542021988,263.098279008233,0.0208425,0.0024999999999999996,0.0012260294117647059,0.00017514705882352942,0.0208425,0.0,0.013203241059175828,0.001583692102575966,0.0007766612387750488,0.00011095160553929267,0.008802160706117218,0.0076392589408241715,1.578589674049398,0.0208425,0.0024999999999999996,0.0012260294117647059,0.00017514705882352942,both,1,17,1783,7,11-20,1001-2000
2025-11-23T16:40:16.336952,2025-11-23 16:40:16,nolh_docs16_chunk2137_q4_genqwen3_latest_embembeddinggemma,qwen3:latest,embeddinggemma,16,2137,50,4,64,3,7829,0,7829,199.96037200499268,39.15275772643853,0.0195725,0.0024999999999999996,0.00122328125,0.0003058203125,0.0195725,0.0,0.08331682166874696,0.010642077106750154,0.005207301354296685,0.0013018253385741712,0.055544547779164635,-0.06374432166874697,0.23491654635863116,0.0195725,0.0024999999999999996,0.00122328125,0.0003058203125,both,2,16,2137,4,11-20,2001-3000
2025-11-23T16:40:16.336952,2025-11-23 16:40:16,nolh_docs45_chunk1560_q9_gengemma3_4b_embnomic_embed_text_137m_v1.5_fp16,gemma3:4b,nomic-embed-text:137m-v1.5-fp16,45,1560,50,9,405,3,21825,0,21825,95.1847121140454,229.2910228467195,0.0545625,0.0025,0.0012125,0.00013472222222222222,0.0545625,0.0,0.03966029671418558,0.0018171957257358802,0.0008813399269819018,9.792665855354465e-05,0.026440197809457056,0.014902203285814417,1.3757461370803168,0.0545625,0.0025,0.0012125,0.00013472222222222222,both,3,45,1560,9,41-50,1001-2000
2025-11-23T16:40:16.336952,2025-11-23 16:40:16,nolh_docs11_chunk2708_q5_gengemma3_12b_embqwen3_embedding_8b_fp16,gemma3:12b,qwen3-embedding:8b-fp16,11,2708,50,5,55,3,5358,0,5358,52.199372923976625,102.64491122917151,0.013394999999999999,0.0024999999999999996,0.0012177272727272727,0.00024354545454545454,0.013394999999999999,0.0,0.021749738718323593,0.004059301739142141,0.0019772489743930537,0.00039544979487861077,0.01449982581221573,-0.008354738718323594,0.6158694673750291,0.013394999999999999,0.0024999999999999996,0.0012177272727272727,0.00024354545454545454,both,4,11,2708,5,11-20,2001-3000
2025-11-23T16:40:16.336952,2025-11-23 16:40:16,nolh_docs42_chunk3567_q4_genqwen3_latest_embembeddinggemma,qwen3:latest,embeddinggemma,42,3567,50,4,168,3,20394,0,20394,519.3672767630924,39.26700990309533,0.050984999999999996,0.0024999999999999996,0.0012139285714285713,0.00030348214285714283,0.050984999999999996,0.0,0.2164030319846218,0.010611112679446004,0.005152453142490995,0.0012881132856227488,0.14426868798974787,-0.1654180319846218,0.23560205941857199,0.050984999999999996,0.0024999999999999996,0.0012139285714285713,0.00030348214285714283,both,5,42,3567,4,41-50,3001-4000
2025-11-23T16:40:16.336952,2025-11-23 16:40:16,nolh_docs47_chunk2756_q9_gengemma3_27b_embqwen3_embedding_8b_fp16,gemma3:27b,qwen3-embedding:8b-fp16,47,2756,50,9,423,3,22821,0,22821,576.7305367179215,39.56960581603768,0.057052500000000006,0.0025,0.0012138829787234043,0.00013487588652482272,0.057052500000000006,0.0,0.24030439029913397,0.010529967586833793,0.00511285936806668,0.0005680954853407422,0.1602029268660893,-0.18325189029913397,0.2374176348962261,0.057052500000000006,0.0025,0.0012138829787234043,0.00013487588652482272,both,6,47,2756,9,41-50,2001-3000
2025-11-23T16:40:16.336952,2025-11-23 16:40:16,nolh_docs11_chunk3485_q6_gengemma3_27b_embsnowflake_arctic_embed2_568m,gemma3:27b,snowflake-arctic-embed2:568m,11,3485,50,6,66,3,5358,0,5358,92.35559299198212,58.01489467416615,0.013394999999999999,0.0024999999999999996,0.0012177272727272727,0.00020295454545454544,0.013394999999999999,0.0,0.03848149707999255,0.007182063658079983,0.003498317916362959,0.0005830529860604932,0.0256543313866617,-0.025086497079992554,0.34808936804499685,0.013394999999999999,0.0024999999999999996,0.0012177272727272727,0.00020295454545454544,both,7,11,3485,6,11-20,3001-4000
2025-11-23T16:40:16.336952,2025-11-23 16:40:16,nolh_docs36_chunk776_q8_gengpt_oss_20b_embqwen3_embedding_8b_fp16,gpt-oss:20b,qwen3-embedding:8b-fp16,36,776,50,8,288,3,17533,0,17533,354.4358282379835,49.46734670465534,0.0438325,0.0025,0.0012175694444444445,0.00015219618055555556,0.0438325,0.0,0.1476815950991598,0.008423064797761922,0.0041022665305322165,0.0005127833163165271,0.0984543967327732,-0.1038490950991598,0.2968040802279321,0.0438325,0.0025,0.0012175694444444445,0.00015219618055555556,both,8,36,776,8,31-40,501-1000
2025-11-23T16:40:16.336952,2025-11-23 16:40:16,nolh_docs20_chunk1705_q6_gengpt_oss_20b_embsnowflake_arctic_embed2_568m,gpt-oss:20b,snowflake-arctic-embed2:568m,20,1705,50,6,120,3,9755,0,9755,133.04582857100468,73.32060016292728,0.024387500000000003,0.0025,0.0012193750000000002,0.0002032291666666667,0.024387500000000003,0.0,0.05543576190458528,0.005682804910772454,0.002771788095229264,0.00046196468253821067,0.03695717460305686,-0.03104826190458528,0.4399236009775637,0.024387500000000003,0.0025,0.0012193750000000002,0.0002032291666666667,both,9,20,1705,6,11-20,1001-2000
