export_timestamp,export_timestamp_readable,parameter,num_docs,chunk_size,num_questions_per_doc,total_tokens,total_runtime_seconds,tokens_per_second,cost_api_total,cost_local_total,cost_difference,cost_ratio
2025-11-23T16:47:59.732137,2025-11-23 16:47:59,num_docs,1.0,-0.4380470861549985,-0.12368862984463275,0.9999852682423322,0.494042286211443,0.15226361388809634,0.9999852682423318,0.4940422862114429,-0.29402208360449594,0.15226361388809637
2025-11-23T16:47:59.732137,2025-11-23 16:47:59,chunk_size,-0.4380470861549985,1.0,0.0804870696584101,-0.43854593732208813,-0.1280755741813059,0.09807064703247968,-0.438545937322088,-0.12807557418130594,0.03154926382715756,0.09807064703247967
2025-11-23T16:47:59.732137,2025-11-23 16:47:59,num_questions_per_doc,-0.12368862984463275,0.0804870696584101,1.0,-0.12242591459523784,0.005913631564941474,-0.2389767121756129,-0.1224259145952378,0.005913631564941498,-0.037002622729129915,-0.23897671217561303
2025-11-23T16:47:59.732137,2025-11-23 16:47:59,total_tokens,0.9999852682423322,-0.43854593732208813,-0.12242591459523784,1.0,0.4942983455741882,0.15087407491368454,1.0,0.49429834557418817,-0.2942999288780861,0.15087407491368449
2025-11-23T16:47:59.732137,2025-11-23 16:47:59,total_runtime_seconds,0.494042286211443,-0.1280755741813059,0.005913631564941474,0.4942983455741882,1.0,-0.5184822176105338,0.4942983455741883,0.9999999999999999,-0.9762660404363406,-0.5184822176105338
2025-11-23T16:47:59.732137,2025-11-23 16:47:59,tokens_per_second,0.15226361388809634,0.09807064703247968,-0.2389767121756129,0.15087407491368454,-0.5184822176105338,1.0,0.15087407491368457,-0.5184822176105338,0.6076158183676265,1.0000000000000004
2025-11-23T16:47:59.732137,2025-11-23 16:47:59,cost_api_total,0.9999852682423318,-0.438545937322088,-0.1224259145952378,1.0,0.4942983455741883,0.15087407491368457,1.0,0.49429834557418806,-0.2942999288780862,0.15087407491368457
2025-11-23T16:47:59.732137,2025-11-23 16:47:59,cost_local_total,0.4940422862114429,-0.12807557418130594,0.005913631564941498,0.49429834557418817,0.9999999999999999,-0.5184822176105338,0.49429834557418806,1.0,-0.97626604043634,-0.5184822176105339
2025-11-23T16:47:59.732137,2025-11-23 16:47:59,cost_difference,-0.29402208360449594,0.03154926382715756,-0.037002622729129915,-0.2942999288780861,-0.9762660404363406,0.6076158183676265,-0.2942999288780862,-0.97626604043634,1.0,0.6076158183676263
2025-11-23T16:47:59.732137,2025-11-23 16:47:59,cost_ratio,0.15226361388809637,0.09807064703247967,-0.23897671217561303,0.15087407491368449,-0.5184822176105338,1.0000000000000004,0.15087407491368457,-0.5184822176105339,0.6076158183676263,1.0
