export_timestamp,export_timestamp_readable,embed_model,total_tokens_count,total_tokens_mean,total_tokens_sum,total_runtime_seconds_mean,total_runtime_seconds_sum,tokens_per_second_mean,cost_api_total_mean,cost_api_total_sum,cost_api_total_min,cost_api_total_max,cost_local_total_mean,cost_local_total_sum,cost_local_total_min,cost_local_total_max,cost_difference_mean,cost_ratio_mean
2025-11-23T16:47:59.732137,2025-11-23 16:47:59,embeddinggemma,5,9955.2,49776,177.1226,885.613,94.2823,0.0249,0.1244,0.0074,0.051,0.0738,0.369,0.0174,0.2164,-0.0489,0.5657
2025-11-23T16:47:59.732137,2025-11-23 16:47:59,nomic-embed-text:137m-v1.5-fp16,5,16149.8,80749,79.1626,395.8128,346.8335,0.0404,0.2019,0.0086,0.0608,0.033,0.1649,0.0059,0.0955,0.0074,2.081
2025-11-23T16:47:59.732137,2025-11-23 16:47:59,qwen3-embedding:8b-fp16,10,14516.7,145167,279.0593,2790.593,73.1943,0.0363,0.3629,0.0134,0.0571,0.1163,1.1627,0.0217,0.2403,-0.08,0.4392
2025-11-23T16:47:59.732137,2025-11-23 16:47:59,snowflake-arctic-embed2:568m,10,12610.6,126106,185.5902,1855.9018,159.584,0.0315,0.3153,0.0134,0.0521,0.0773,0.7733,0.0073,0.2137,-0.0458,0.9575
