export_timestamp,export_timestamp_readable,gen_model,total_tokens_count,total_tokens_mean,total_tokens_sum,total_runtime_seconds_mean,total_runtime_seconds_sum,tokens_per_second_mean,cost_api_total_mean,cost_api_total_sum,cost_api_total_min,cost_api_total_max,cost_local_total_mean,cost_local_total_sum,cost_local_total_min,cost_local_total_max,cost_difference_mean,cost_ratio_mean
2025-11-23T16:47:59.732137,2025-11-23 16:47:59,gemma3:12b,4,7816.0,31264,60.7004,242.8014,132.9289,0.0195,0.0782,0.0111,0.0353,0.0253,0.1012,0.0174,0.0376,-0.0058,0.7976
2025-11-23T16:47:59.732137,2025-11-23 16:47:59,gemma3:1b,2,17470.0,34940,21.5579,43.1158,791.756,0.0437,0.0874,0.0303,0.0571,0.009,0.018,0.0073,0.0107,0.0347,4.7505
2025-11-23T16:47:59.732137,2025-11-23 16:47:59,gemma3:27b,6,13717.5,82305,232.3589,1394.1537,68.6813,0.0343,0.2058,0.0074,0.0608,0.0968,0.5809,0.0275,0.2403,-0.0625,0.4121
2025-11-23T16:47:59.732137,2025-11-23 16:47:59,gemma3:4b,6,12675.0,76050,55.8447,335.0681,236.8938,0.0317,0.1901,0.0086,0.0546,0.0233,0.1396,0.0059,0.0397,0.0084,1.4214
2025-11-23T16:47:59.732137,2025-11-23 16:47:59,gpt-oss:120b,2,15775.5,31551,257.0926,514.1853,60.4121,0.0394,0.0789,0.0268,0.0521,0.1071,0.2142,0.0786,0.1356,-0.0677,0.3625
2025-11-23T16:47:59.732137,2025-11-23 16:47:59,gpt-oss:20b,4,15722.0,62888,266.5564,1066.2258,61.6012,0.0393,0.1572,0.0244,0.05,0.1111,0.4443,0.0554,0.1477,-0.0718,0.3696
2025-11-23T16:47:59.732137,2025-11-23 16:47:59,qwen3:latest,6,13800.0,82800,388.7284,2332.3705,36.2423,0.0345,0.207,0.0196,0.051,0.162,0.9718,0.0833,0.2164,-0.1275,0.2175
